srcChain,dstChain,enforcedOptionsSend.gas,enforcedOptionsSend.value,,enforcedOptionsSendAndCall.gas,enforcedOptionsSendAndCall.value
ethereum,fraxtal,200000,0,,250000,0
fraxtal,ethereum,200000,0,,250000,0
fraxtal,base,200000,0,,250000,0
fraxtal,blast,200000,0,,250000,0
fraxtal,mode,200000,0,,250000,0
fraxtal,sei,200000,0,,250000,0
fraxtal,xlayer,200000,0,,250000,0
fraxtal,sonic,200000,0,,250000,0
fraxtal,ink,200000,0,,250000,0
fraxtal,arbitrum,200000,0,,250000,0
fraxtal,optimism,200000,0,,250000,0
fraxtal,polygon,200000,0,,250000,0
fraxtal,avalanche,200000,0,,250000,0
fraxtal,bnb,200000,0,,250000,0
fraxtal,zkevm,200000,0,,250000,0
fraxtal,zksync,200000,0,,250000,0
fraxtal,abstract,200000,0,,250000,0
fraxtal,berachain,200000,0,,250000,0
fraxtal,linea,200000,0,,250000,0
fraxtal,aurora,200000,0,,250000,0
fraxtal,hyperliquid,200000,0,,250000,0
fraxtal,katana,200000,0,,250000,0
fraxtal,plumephoenix,200000,0,,250000,0
fraxtal,unichain,200000,0,,250000,0
fraxtal,worldchain,200000,0,,250000,0
fraxtal,plasma,200000,0,,250000,0
base,fraxtal,200000,0,,250000,0
blast,fraxtal,200000,0,,250000,0
mode,fraxtal,-,-,,-,-
sei,fraxtal,200000,0,,250000,0
xlayer,fraxtal,200000,0,,250000,0
sonic,fraxtal,200000,0,,250000,0
ink,fraxtal,200000,0,,250000,0
arbitrum,fraxtal,200000,0,,250000,0
optimism,fraxtal,200000,0,,250000,0
polygon,fraxtal,200000,0,,250000,0
avalanche,fraxtal,200000,0,,250000,0
bnb,fraxtal,200000,0,,250000,0
zkevm,fraxtal,200000,0,,250000,0
zksync,fraxtal,200000,0,,250000,0
abstract,fraxtal,200000,0,,250000,0
berachain,fraxtal,200000,0,,250000,0
linea,fraxtal,200000,0,,250000,0
aurora,fraxtal,200000,0,,250000,0
hyperliquid,fraxtal,200000,0,,250000,0
katana,fraxtal,-,-,,-,-
plumephoenix,fraxtal,200000,0,,250000,0
unichain,fraxtal,200000,0,,250000,0
worldchain,fraxtal,200000,0,,250000,0
plasma,fraxtal,-,-,,-,-