,ethereum,fraxtal,base,blast,mode,sei,xlayer,sonic,ink,arbitrum,optimism,polygon,avalanche,bnb,zkevm,zksync,abstract,berachain,linea,aurora,hyperliquid,katana,plumephoenix,scroll,unichain,worldchain,plasma,solana,movement,aptos
ethereum,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
fraxtal,x,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
base,-,x,-,x,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
blast,-,x,x,-,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mode,-,x,x,x,-,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
sei,-,x,x,x,x,-,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
xlayer,-,x,x,x,x,x,-,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
sonic,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
ink,-,x,x,x,x,x,x,x,-,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
arbitrum,-,x,x,x,x,x,x,x,x,-,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
optimism,-,x,x,x,x,x,x,x,x,x,-,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
polygon,-,x,x,x,x,x,x,x,x,x,x,-,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
avalanche,-,x,x,x,x,x,x,x,x,x,x,x,-,x,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
bnb,-,x,x,x,x,x,x,x,x,x,x,x,x,-,x,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
zkevm,-,x,x,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-
zksync,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
abstract,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
berachain,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
linea,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aurora,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hyperliquid,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
katana,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plumephoenix,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
scroll,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
unichain,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
worldchain,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
plasma,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
solana,x,x,-,-,x,x,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
movement,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
aptos,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-